University of Southern California;|
Cornell College;Northwestern University;Purdue University;Rensselaer Polytechnic Institute;Texas A&M University College Station;University of California Davis;University of California Irvine;University of California San Diego;University of California Santa Barbara;University of Colorado Boulder;University of Florida;University of Illinois Chicago;University of Illinois Urbana-Champaign;University of Maryland College Park;University of Southern California;Virginia Polytechnic Institute and State University;|
Illinois Institute of Technology;San Jose State University;University of California Los Angeles;University of California San Diego;University of Southern California;|
|
New Jersey Institute of Technology;Rutgers University New Brunswick/Piscataway;|
|
Southern Methodist University;SUNY College at New Paltz;Texas A&M University Kingsville;University of Louisville;University of North Carolina Charlotte;|
|
|
Arizona State University;Carnegie Mellon University;North Carolina State University;University of California Irvine;University of California San Diego;University of California Santa Barbara;University of Colorado Boulder;University of Minnesota Twin Cities;University of Southern California;Virginia Polytechnic Institute and State University;|
University of California San Diego;University of Illinois Chicago;University of Maryland College Park;University of Southern California;|
California State University Fullerton;California State University Los Angeles;Loyola Marymount University;San Francisco State University;University of Alabama Huntsville;|
Oklahoma State University Stillwater;Polytechnic University of New York;University of Southern California;University of Texas Dallas;North Carolina State University;University of Florida;|Oklahoma State University Stillwater;Polytechnic University of New York;University of Southern California;University of Texas Dallas;
Carnegie Mellon University;University of Texas Dallas;|
Boston College;Massachusetts Institute of Technology;|
Georgia Institute of Technology;University of Georgia;|
|
Michigan State University;|
|
|
|
Texas A&M University Texas A&M International University (Laredo);Texas A&M University West Texas A&M University;Texas State University;University of Dallas;University of Houston main campus;University of Texas Austin;University of Texas Dallas;|
Purdue University;Texas A&M University College Station;University of Illinois Urbana-Champaign;University of Texas Austin;University of Texas Dallas;|
