University of Cincinnati;Bentley College;University of Texas Dallas;|Bentley College;University of Texas Dallas;
Shippensburg University of Pennsylvania;North Carolina A&T State University;|
Indiana University-Bloomington;Northeastern University;SUNY Buffalo;Syracuse University;Texas A&M University College Station;University of Arizona;University of Florida;|
University of Arizona;Indiana University-Bloomington;Texas A&M University College Station;University of Cincinnati;University of Illinois Chicago;|Indiana University-Bloomington;Texas A&M University College Station;University of Cincinnati;University of Illinois Chicago;
Arizona State University;|
Northeastern University;University of Texas Arlington;New Jersey Institute of Technology;Oklahoma State University Stillwater;University of Florida;University of Illinois Springfield;University of Texas Dallas;|New Jersey Institute of Technology;Oklahoma State University Stillwater;University of Florida;University of Illinois Springfield;University of Texas Dallas;
University of Dallas;|
|
|
|
Oklahoma State University Stillwater;University of Arizona;University of Cincinnati;University of Illinois Chicago;University of Texas Dallas;University of Washington;|
Syracuse University;|
Carnegie Mellon University;Georgia State University;New York University;Oklahoma State University Stillwater;Texas A&M University College Station;University of Arizona;University of Illinois Chicago;|
Oklahoma State University Stillwater;SUNY Buffalo;|
Georgia State University;Syracuse University;University of Maryland College Park;Oklahoma State University Stillwater;University of Texas Dallas;University of Arizona;|Oklahoma State University Stillwater;University of Texas Dallas;
New York University;SUNY Buffalo;Syracuse University;Texas A&M University College Station;University of Arizona;University of Cincinnati;University of Illinois Chicago;|
New York University;Carnegie Mellon University;Cornell University;Texas A&M University College Station;University of California Berkeley;|New York University;
|
|
George Mason University;Southern Polytechnic State University;University of North Texas;University of Texas Arlington;|
University of Texas Arlington;Iowa State University;;Oklahoma State University Stillwater;;SUNY Buffalo;;University of South Florida;First ;|Iowa State University;;Oklahoma State University Stillwater;;SUNY Buffalo;;University of South Florida;First ;
Rutgers University;SUNY Buffalo;University of Arizona;University of Illinois Chicago;|
|
"University of Cincinnati;Oklahoma State University Stillwater;Texas A&M University Texas A&M International University (Laredo);Yippee... Applied on Feb'15| ;Texas Tech University;University of Dallas;"|"Oklahoma State University Stillwater;Texas A&M University Texas A&M International University (Laredo);Yippee... Applied on Feb'15| ;Texas Tech University;University of Dallas;"
University of Houston Clear Lake;University of Nebraska Omaha;University of Texas Arlington;University of Missouri Rolla;University of Texas Dallas;|University of Missouri Rolla;University of Texas Dallas;
Carnegie Mellon University;Indiana University-Bloomington;New York University;University of Arizona;Texas A&M University College Station;University of Cincinnati;University of Maryland College Park;|Texas A&M University College Station;University of Cincinnati;University of Maryland College Park;
|
|
SUNY Buffalo;|
New Jersey Institute of Technology;Oklahoma State University Stillwater;Syracuse University;University of Arizona;University of Maryland Baltimore County;|
George Mason University;University of Cincinnati;University of Illinois Chicago;Northeastern University;4th ;Oklahoma State University Stillwater;3rd ;University of South Florida;2nd ;University of Texas Dallas;1st ;University of Arizona;Submitted Online Application on 4th Jan 2013 | Packets sent on 21st Dec 2012 | ;|Northeastern University;4th ;Oklahoma State University Stillwater;3rd ;University of South Florida;2nd ;University of Texas Dallas;1st ;
New York University;Northeastern University;Syracuse University;University of Illinois Chicago;Carnegie Mellon University;|Northeastern University;Syracuse University;University of Illinois Chicago;
Indiana University-Bloomington;University of Illinois Chicago;University of Arizona;University of Cincinnati;;|University of Arizona;University of Cincinnati;;
Carnegie Mellon University;Georgia State University;New York University;University of California Berkeley;University of Maryland College Park;|
|
|
Texas A&M University College Station;University of Illinois Chicago;University of Maryland College Park;Carnegie Mellon University;SUNY Buffalo;|Carnegie Mellon University;SUNY Buffalo;
|
Northeastern University;Oklahoma State University Stillwater;University of Missouri Rolla;|Oklahoma State University Stillwater;University of Missouri Rolla;
|
|
|
University of Cincinnati;Syracuse University;University of Arizona;MS MIS - 2nd ;University of Illinois Chicago;|Syracuse University;University of Arizona;MS MIS - 2nd ;University of Illinois Chicago;
"Carnegie Mellon University;Indiana University-Bloomington;Texas A&M University College Station;University of Cincinnati;University of Maryland College Park;University of Illinois Chicago;Application submitted - December 4th| 2012| Recommendation completed - Dec 24th| 2012| ;"|"University of Illinois Chicago;Application submitted - December 4th| 2012| Recommendation completed - Dec 24th| 2012| ;"
|
Carnegie Mellon University;Stanford University;University of California Berkeley;|
Northeastern University;SUNY Buffalo;Syracuse University;University of Arizona;University of Maryland College Park;University of Texas Dallas;Bentley College;George Washington University Virginia Campus;University of Cincinnati;|Northeastern University;SUNY Buffalo;Syracuse University;University of Arizona;University of Maryland College Park;University of Texas Dallas;
|
SUNY Buffalo;University of South Florida;University of Texas Austin;University of Texas Dallas;|
Case Western Reserve University;Illinois Institute of Technology;Louisiana State University Baton Rouge;New Jersey Institute of Technology;North Carolina State University;Northeastern University;SUNY Buffalo;Syracuse University;University of Cincinnati;University of Florida;University of South Carolina;Wayne State University;|
Cornell University;Duke University;New York University;Carnegie Mellon University;University of Arizona;Applied-4th Jan..;Indiana University-Bloomington;Texas A&M University College Station;|Carnegie Mellon University;University of Arizona;Applied-4th Jan..;
Northeastern University;Santa Clara University;SUNY Buffalo;Syracuse University;University of South Florida;University of Texas Arlington;University of Texas Dallas;|
University of Arizona;University of California Berkeley;University of Maryland College Park;|
Columbia University;Cornell University;New York University;Pace University;Polytechnic University of New York;|
SUNY Albany;SUNY Buffalo;Syracuse University;University of Arizona;University of Central Florida;University of Illinois Chicago;University of South Florida;|
North Carolina State University;University of Cincinnati;University of Maryland College Park;University of Texas Austin;|
Polytechnic University of New York;SUNY Buffalo;Texas Tech University;University of Texas Arlington;University of Texas Dallas;|
|
Oklahoma State University Stillwater;University of Arkansas Fayetteville;|Oklahoma State University Stillwater;
|
Northeastern University;6th ;Texas Tech University;University of Florida;University of Illinois Springfield;University of Maryland Baltimore County;University of Texas Dallas;Oklahoma State University Stillwater;4th ;University of Illinois Chicago;2 rejects in a day :( 3rd ;University of North Carolina Charlotte;University of South Florida;2nd ;|Northeastern University;6th ;Texas Tech University;University of Florida;University of Illinois Springfield;University of Maryland Baltimore County;University of Texas Dallas;
